feature_id	frequency	candidate_placements	top_edge_num	top_likelihood	top_likelihood_weight	second_likelihood_weight	likelihood_weight_sum	distal_length	pendant_length
2b1c55727a55a88c4d45510579a1ed1a	2	3	279731	-106165.03	0.34023678	0.33067197	1.0	5.7354055e-06	0.0038921358
2b9f3a8f685d68714acd248e5e683700	33	7	34680	-48277.715	0.14285734	0.14285734	0.9999999900000001	5.000002e-07	6.113515e-06
2bfdfef3ab9fe4d267c52f8ee5c80ddd	30	1	204496	-126607.29	1.0	0.0	1.0	0.0038213176	0.0104121715
2cd04b1d0e1b11f8c96708fa90e0def8	7	2	119818	-141905.55	0.9968803	0.0031197146	1.0000000146	0.0019203312	6.113515e-06
2dc45b7fb6c25d018ed33151dc488af2	2	6	10912	-131113.2	0.5357908	0.16626386	1.000000004	0.0156829	0.09748504
2e27723ea895ab1bdef90d3cedae756c	2	3	11024	-131141.16	0.9143773	0.042831715	1.000000039	0.07757819	0.15700918
2eb524be6fd8ca1d369b90802ec920f7	11	6	139	-130602.37	0.50676143	0.18546249	0.999999982	0.0054461746	0.08689242
321ef9ed6e9912549618aed741da32ae	4	4	129368	-142639.53	0.7218176	0.21372397	0.999999972	0.014286917	0.10498688
3421464bea79a54e7eef62009457230b	74	3	10278	-130647.19	0.6736278	0.19861268	1.00000001	0.029403398	0.12250877
34226986d9a7cc490b63dbf9928b9bee	4	6	317046	-103843.836	0.724857	0.116818465	1.00000004	8.273126e-06	0.21127534
347835f89b2f1d7b5a72588b1b865e37	2	4	11560	-131160.47	0.6718796	0.16673115	1.000000005	0.1761544	0.20024203
3500fa9dc0abd948eb9ea521d16a0078	5	7	205967	-127280.65	0.2684874	0.235092	0.999999997	0.0047059734	0.31570116
35a6f0e22139772d9a3f13bab06a63ef	2	7	61	-131213.38	0.38263482	0.1742247	1.000000005	0.08048644	0.13188249
35b5c3571de55e4d911b3b2166603472	2	7	134	-131200.19	0.2768565	0.23638187	0.999999984	0.04996822	0.11732265
3715428636032e0e71f8f766bd207496	6	3	221492	-105189.266	0.5710173	0.21481776	1.0	6.068024e-06	0.024141278
37210dbdd24c1f5b8c4339e77a1dea9f	9	1	191288	-139498.12	1.0	0.0	1.0	0.039617296	0.0063580046
37c2360b5cb7a7212a2ff15fba12b270	4	7	11413	-131110.27	0.44387183	0.21757111	1.000000006	0.05372	0.10154517
38c27ceaed634984c1225a82648cf571	150	7	49654	-64675.203	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
38e47a88b1aa23639981c3b0c41c7cb2	3	7	83	-131227.17	0.7178297	0.060037438	0.999999988	0.04784864	0.17613386
3988276297394e687bdf29286da7fade	3	1	221456	-106175.18	1.0	0.0	1.0	0.0040965304	0.0077985073
39d96ded98b9db72e5ce5de3df737669	4	3	404693	-63607.88	0.93985415	0.059773777	1.00000002244	6.8093377e-06	6.113515e-06
3a40f1244d2f3b91b2b6b5032e5f9745	5	7	73703	-65870.4	0.14285752	0.1428575	0.99999999	5.000002e-07	0.11543815
3aaa89901133838c319d53c68be8fa75	8	3	398345	-125400.7	0.46660805	0.26671925	1.0	0.033244465	0.016308598
3add7546155d28d51903ff1038f70c36	20	3	100	-131044.03	0.6317469	0.239818	1.00000002	0.04482933	0.098888144
3b67e7154ea0da9a956643e8984387ff	5	4	203869	-127279.7	0.5452491	0.35906684	0.9999999620000001	0.0076570776	0.29522616
3b9a01065c42a103da04a5695ff4693f	3	3	204077	-126593.08	0.8224605	0.11617504	1.0000000500000001	0.0007261521	6.113515e-06
3bc08fee0eec65a1d1aa91483402d80a	6	1	11424	-131094.66	1.0	0.0	1.0	0.02848133	0.06956675
3bf4d00fc2bd96c04242fb5d743b1daf	12	1	8605	-129911.414	1.0	0.0	1.0	9.1865895e-06	6.113515e-06
3cfb94dcb6434332475efa51c653318a	2	3	11190	-131153.92	0.6127792	0.20021342	1.0	0.10506699	0.18988596
3cffb8b7f8e218c4e0d2c03d54fdb136	8	1	10909	-131064.53	1.0	0.0	1.0	0.013882758	0.035746895
3d4f0620518694f2572bf2a533bcab57	3	4	44	-131219.27	0.6547547	0.24461553	1.000000008	0.04875468	0.11159329
3dbf66ee7707a9c91038139380697b07	8	7	47523	-64675.203	0.14285715	0.14285715	1.0000000299999998	5.000002e-07	6.113515e-06
3ebe761bfb1238c87195d431f41bf976	164	7	71305	-64222.88	0.14285715	0.14285715	1.00000005	5.000002e-07	6.113515e-06
