Group	EdgeKey	SelectionFrequency
CW	Genus:Thiobacillus || Genus:Blastocatella	0.03
CW	Genus:Thiobacillus || Genus:Bryobacter	0.108
CW	Genus:Thiobacillus || Genus:Candidatus Solibacter	0.06
CW	Genus:Thiobacillus || Genus:Desulfobulbus	0.004
CW	Genus:Thiobacillus || Genus:Flavobacterium	0.004
CW	Genus:Thiobacillus || Genus:Gaiella	0.05
CW	Genus:Thiobacillus || Genus:Geobacter	0.19
CW	Genus:Thiobacillus || Genus:Lysobacter	0.002
CW	Genus:Thiobacillus || Genus:Massilia	0.008
CW	Genus:Thiobacillus || Genus:Nitrospira	0.004
CW	Genus:Thiobacillus || Genus:Pirellula	0.002
CW	Genus:Thiobacillus || Genus:Planctomyces	0.002
CW	Genus:Thiobacillus || Genus:Planomicrobium	0.06
CW	Genus:Thiobacillus || Genus:Pseudomonas	0.194
CW	Genus:Thiobacillus || Genus:Sulfurovum	0.004
