FeatureID	DisplayTaxon	Module	WithinConnectivity	KME	CandidateHub
Genus:Aestuariibaculum	Aestuariibaculum	blue	6.23919652980534	0.577867215101813	FALSE
Genus:Leptolyngbya	Leptolyngbya	turquoise	4.35783987272337	0.357777199705897	FALSE
Genus:Blvii28 wastewater-sludge group	Blvii28 wastewater-sludge group	turquoise	4.64261881815234	0.404272292728426	FALSE
Genus:Thauera	Thauera	grey	1.37129957978562	NA	FALSE
Genus:Bosea	Bosea	brown	1.77245584339424	0.386217881994096	FALSE
Genus:Desulfurivibrio	Desulfurivibrio	turquoise	4.30359739500456	0.394188208561989	FALSE
Genus:Dokdonella	Dokdonella	turquoise	5.02784454895095	0.439774131211391	FALSE
Genus:Parafilimonas	Parafilimonas	brown	4.49341822841252	0.661473908988339	FALSE
Genus:Leisingera	Leisingera	blue	10.5194916706944	0.756135022262281	FALSE
Genus:vadinBC27 wastewater-sludge group	vadinBC27 wastewater-sludge group	grey	1.34990404866191	NA	FALSE
Genus:Sideroxydans	Sideroxydans	brown	1.74461305383762	0.319295663960633	FALSE
Genus:Anoxynatronum	Anoxynatronum	yellow	2.76276462318801	0.387142691128347	FALSE
